"","SG_UF","REGIAO","NM_MUNICIPIO","total_receita","total_beneficiarios","media_receita","tt_abstMulher","tt_aptMulher","percAbsT_Mulher","total_abstencao","total_aptos","perc_abstencao","abstFEMININA","abtMASCULINA"
"1","AC","Norte","ACRELANDIA",402281,1900,211.726842105263,1807,8644,0.209046737621472,3660,17618,0.20774208196163,0.493715846994536,0.506284153005464
"2","AC","Norte","ASSIS BRASIL",418404,1356,308.557522123894,1319,5742,0.229710902124695,2725,11452,0.237949703108627,0.484036697247706,0.515963302752294
"3","AC","Norte","BRASILEIA",653983,3358,194.753722453842,3182,16494,0.19291863708015,6312,32082,0.196745838788105,0.504119138149556,0.495880861850444
"4","AC","Norte","BUJARI",301081,1450,207.642068965517,1915,8574,0.223349661768136,4176,17366,0.240469883680756,0.458572796934866,0.541427203065134
"5","AC","Norte","CAPIXABA",273376,1356,201.604719764012,1265,6648,0.190282791817088,2675,13664,0.195769906323185,0.472897196261682,0.527102803738318
"6","AC","Norte","CRUZEIRO DO SUL",3447474,11340,304.010052910053,12918,70332,0.183671728373998,25705,134698,0.190834310828669,0.50254814238475,0.49745185761525
"7","AC","Norte","EPITACIOLANDIA",353791,1719,205.812100058173,1870,11270,0.165927240461402,3718,21540,0.172609099350046,0.502958579881657,0.497041420118343
"8","AC","Norte","FEIJO",1605573,5110,314.202152641879,6948,20176,0.344369547977795,14536,41130,0.353415998054948,0.477985690698954,0.522014309301046
"9","AC","Norte","JORDAO",475426,1272,373.762578616352,1368,4422,0.309362279511533,3143,9586,0.327873982891717,0.435252943048043,0.564747056951957
"10","AC","Norte","MANCIO LIMA",1086642,3242,335.176434299815,3454,12356,0.279540304305601,7248,24858,0.291576152546464,0.476545253863135,0.523454746136865
"11","AC","Norte","MANOEL URBANO",580032,1763,329.002836074872,2108,6462,0.326214794181368,4552,13586,0.335050787575445,0.463093145869947,0.536906854130053
"12","AC","Norte","MARECHAL THAUMATURGO",853614,2796,305.298283261803,3187,8898,0.358170375365251,6807,19060,0.35713536201469,0.468194505655942,0.531805494344058
"13","AC","Norte","PLACIDO DE CASTRO",298681,1645,181.568996960486,2127,11572,0.183805737988247,4263,22922,0.185978535904371,0.498944405348346,0.501055594651654
"14","AC","Norte","PORTO ACRE",596288,2736,217.941520467836,2146,11862,0.18091384252234,4697,24598,0.190950483779169,0.456887374920162,0.543112625079838
"15","AC","Norte","PORTO WALTER",477884,1566,305.162196679438,1997,5728,0.348638268156425,4312,12150,0.354897119341564,0.463126159554731,0.536873840445269
"16","AC","Norte","RIO BRANCO",4909346,22261,220.535735142177,50152,277138,0.180963996276223,100452,519238,0.193460416995674,0.499263329749532,0.500736670250468
"17","AC","Norte","RODRIGUES ALVES",697340,2443,285.444126074499,3256,10760,0.302602230483271,6791,22002,0.308653758749205,0.479458106317184,0.520541893682815
"18","AC","Norte","SANTA ROSA DO PURUS",400119,1067,374.994376757263,1237,3288,0.376216545012165,2388,6632,0.360072376357057,0.518006700167504,0.481993299832496
"19","AC","Norte","SENA MADUREIRA",1845750,6721,274.624311858354,9347,27966,0.334227275977973,19804,56656,0.349548150240045,0.471975358513432,0.528024641486568
"20","AC","Norte","SENADOR GUIOMARD",1057954,4135,255.853446191052,3050,17300,0.176300578034682,6373,34210,0.186290558316282,0.478581515769653,0.521418484230347
"21","AC","Norte","TARAUACA",2431372,7144,340.337625979843,8713,24982,0.348771115202946,18812,51152,0.367766656240225,0.463161811609611,0.536838188390389
"22","AC","Norte","XAPURI",390776,1992,196.172690763052,2089,11166,0.187085796166935,4594,22800,0.201491228070175,0.45472355245973,0.54527644754027
"23","AL","Nordeste","AGUA BRANCA",1711614,6782,252.375995281628,6660,37380,0.178170144462279,14181,71108,0.199429037520392,0.46964247937381,0.53035752062619
"24","AL","Nordeste","ANADIA",472514,2773,170.398124774612,4113,13296,0.309341155234657,7928,25226,0.314278918576072,0.518794147325933,0.481205852674067
"25","AL","Nordeste","ARAPIRACA",3722919,20619,180.557689509676,28035,155738,0.180013869447405,52580,282108,0.18638252016958,0.533187523773298,0.466812476226702
"26","AL","Nordeste","ATALAIA",1513117,8011,188.879915116715,8719,34818,0.250416451260842,17907,67778,0.264200773112219,0.486904562461607,0.513095437538393
"27","AL","Nordeste","BARRA DE SANTO ANTONIO",747720,4002,186.836581709145,2850,11902,0.239455553688456,5706,22920,0.248952879581152,0.499474237644585,0.500525762355415
"28","AL","Nordeste","BARRA DE SAO MIGUEL",529923,2586,204.919953596288,1935,11440,0.169143356643357,3966,22594,0.175533327432062,0.487897125567322,0.512102874432678
"29","AL","Nordeste","BELO MONTE",325155,1328,244.84563253012,1417,5222,0.271351972424358,2838,10268,0.276392676275808,0.499295278365046,0.500704721634954
"30","AL","Nordeste","BOCA DA MATA",754309,3733,202.065095097777,6009,20140,0.298361469712016,12069,39072,0.308891277641278,0.49788714889386,0.50211285110614
"31","AL","Nordeste","BRANQUINHA",330712,1977,167.279716742539,2330,8118,0.287016506528702,5330,16114,0.330768276033263,0.437148217636023,0.562851782363977
